,Month_year,Country,Balance,Combustible Renewables,Hydro,Other Renewables,Solar,"Total Renewables (Hydro, Geo, Solar, Wind, Other)",Wind,value_CDD_18,value_CDD_21,value_Global_Horizontal_Irrandiance,value_HDD_16,value_HDD_18,value_Heat_index,value_Relative_Humidty,value_Temperature,value_Total_Precipitation,"total target (wind, solar, hydro)"
0,2010-04-01,Australia,Net Electricity Production,216.287,1044.406,0.0,26.811,1638.098,350.511,48.13,12.62,720994.0,17.47,37.08,18.41,57.37,23.21,0.05483,1421.728
1,2010-04-01,Austria,Net Electricity Production,350.383,2504.13,0.0,9.965,2995.696,131.107,0.05449,0.0,736161.0,228.9,287.8,8.41,69.85,6.748,0.1051,2645.202
2,2010-04-01,Belgium,Net Electricity Production,383.177,141.898,0.0,80.419,702.509,97.015,0.9916,0.0,723195.0,195.8,253.7,9.577,67.9,9.322,0.03999,319.332
3,2010-04-01,Canada,Net Electricity Production,712.988,28243.738,2.44,24.184,29709.301,725.951,0.06883,2.32e-05,679927.0,246.7,306.2,7.797,70.85,-1.708,0.05456,28993.873
4,2010-04-01,Chile,Net Electricity Production,152.826,1740.416,0.0,0.0,1913.601,20.359,1.411,0.04019,578355.0,113.0,168.3,12.44,66.58,9.672,0.1578,1760.7749999999999
5,2010-04-01,Czech Republic,Net Electricity Production,144.357,334.9,0.0,64.453,567.674,23.964,0.1143,0.0,723758.0,227.3,286.0,8.472,67.42,8.22,0.07188,423.317
6,2010-04-01,Denmark,Net Electricity Production,357.019,2.1,0.0,0.777,991.815,631.919,0.0,0.0,651345.0,273.5,333.5,6.884,78.18,6.657,0.04433,634.796
7,2010-04-01,Estonia,Net Electricity Production,44.643,4.097,0.0,0.0,66.956,18.216,0.0,0.0,595161.0,324.2,384.2,5.193,77.12,4.771,0.0565,22.313000000000002
8,2010-04-01,Finland,Net Electricity Production,881.171,1059.171,0.0,0.489,1960.899,20.068,0.0,0.0,506145.0,375.2,435.2,3.493,77.06,2.372,0.05617,1079.728
9,2010-04-01,France,Net Electricity Production,246.659,5667.793,39.167,80.281,6780.937,747.037,0.788,0.0003851,807343.0,149.5,206.1,11.15,67.09,10.93,0.05226,6495.111
10,2010-04-01,Germany,Net Electricity Production,2552.151,1946.794,0.0,1366.063,9011.847,3145.056,0.4512,0.0,725648.0,205.4,263.4,9.235,65.49,8.849,0.04485,6457.9130000000005
11,2010-04-01,Greece,Net Electricity Production,12.181,389.743,0.0,13.167,651.204,236.113,2.159,0.001297,913210.0,39.4,85.4,15.23,69.08,14.96,0.03075,639.023
12,2010-04-01,Hungary,Net Electricity Production,196.303,13.417,0.0,0.096,237.923,28.107,0.0656,0.0,704099.0,135.3,193.2,11.56,67.03,11.68,0.09834,41.62
13,2010-04-01,Iceland,Net Electricity Production,0.0,1012.393,0.0,0.0,1381.185,0.0,0.0,0.0,560273.0,422.5,482.5,1.915,75.54,-0.7839,0.1313,1012.393
14,2010-04-01,Ireland,Net Electricity Production,28.662,107.958,0.0,0.059,322.416,185.737,0.0,0.0,660584.0,219.3,279.3,8.69,77.68,8.732,0.09052,293.754
15,2010-04-01,Italy,Net Electricity Production,675.381,4170.543,0.0,142.893,5963.246,544.783,0.627,0.0,802408.0,101.6,156.7,12.8,74.11,12.28,0.1021,4858.219
16,2010-04-01,Japan,Net Electricity Production,1013.117,9503.568,0.0,24.24,10880.474,129.97,1.338,0.3146,681800.0,152.1,209.9,11.05,70.54,10.36,0.2726,9657.777999999998
17,2010-04-01,Korea,Net Electricity Production,75.89,483.864,0.0,85.955,713.792,68.083,0.0,0.0,770367.0,188.0,247.8,9.739,64.03,9.534,0.1407,637.902
18,2010-04-01,Latvia,Net Electricity Production,0.963,934.804,0.0,0.0,938.876,3.109,0.0,0.0,614041.0,290.6,350.6,6.312,72.63,6.236,0.06132,937.913
