,Month_year,Country,Balance,Combustible_Renewables,Hydro,Other_Renewables,Solar,Total_Renewables__Hydro__Geo__Solar__Wind__Other_,Wind,value_CDD_18,value_CDD_21,value_Global_Horizontal_Irrandiance,value_HDD_16,value_HDD_18,value_Heat_index,value_Relative_Humidty,value_Temperature,value_Total_Precipitation,total_sol_wind_hyd
0,2010-04-01,Australia,Net Electricity Production,216.287,1044.406,0.0,26.811,1638.098,350.511,0.11146364057433998,0.03712856722565461,0.5989170160185817,0.019489067380633645,0.03868948247078464,0.6399265156154319,0.3997357119259993,0.8678247734138973,0.06850324837581209,1421.728
1,2010-04-01,Austria,Net Electricity Production,350.383,2504.13,0.0,9.965,2995.696,131.107,0.0001261926817971283,0.0,0.611575476288443,0.25535475234270416,0.30029215358931555,0.43580322514798947,0.6058804096465146,0.5569864048338369,0.13130934532733632,2645.202
2,2010-04-01,Belgium,Net Electricity Production,383.177,141.898,0.0,80.419,702.509,97.015,0.0022964335340435386,0.0,0.6007539825283703,0.21842927264614015,0.26471202003338895,0.45962441314554,0.5736703006276843,0.6055891238670694,0.04996251874062968,319.332
3,2010-04-01,Canada,Net Electricity Production,712.988,28243.738,2.44,24.184,29709.301,725.951,0.0001594025011579435,6.825536922624302e-08,0.5646422756017296,0.2752119589468987,0.3194908180300501,0.4232904674423352,0.6223984142715558,0.3973187311178248,0.06816591704147926,28993.873
4,2010-04-01,Chile,Net Electricity Production,152.826,1740.416,0.0,0.0,1913.601,20.359,0.003267716535433071,0.00011824065901735804,0.4798697347874385,0.12605979473449352,0.17560517529215358,0.5180649112063687,0.5518665345226296,0.6121978851963746,0.19715142428785606,1760.7749999999999
5,2010-04-01,Czech Republic,Net Electricity Production,144.357,334.9,0.0,64.453,567.674,23.964,0.00026470588235294115,0.0,0.6012238653748088,0.2535698348951361,0.2984140233722871,0.4370687895488876,0.5657416584076643,0.5847809667673716,0.08980509745127437,423.317
6,2010-04-01,Denmark,Net Electricity Production,357.019,2.1,0.0,0.777,991.815,631.919,0.0,0.0,0.5407875837422205,0.30510932619366354,0.3479757929883138,0.40465401102265774,0.7434753881731088,0.5552681268882175,0.0553848075962019,634.796
7,2010-04-01,Estonia,Net Electricity Production,44.643,4.097,0.0,0.0,66.956,18.216,0.0,0.0,0.4938961133260611,0.3616688978134761,0.40087646076794653,0.37013676260461326,0.7259663032705651,0.5196563444108762,0.07058970514742628,22.313000000000002
8,2010-04-01,Finland,Net Electricity Production,881.171,1059.171,0.0,0.489,1960.899,20.068,0.0,0.0,0.41960287805329954,0.41856314145470774,0.4540901502504173,0.33543580322514804,0.7249752229930625,0.47435800604229605,0.07017741129435281,1079.728
9,2010-04-01,France,Net Electricity Production,246.659,5667.793,39.167,80.281,6780.937,747.037,0.001824918943955535,1.1329802883200942e-06,0.670984358659991,0.16677822400713968,0.21504590984974956,0.4917330067360687,0.5602907168814008,0.6359516616314199,0.06529235382308846,6495.111
10,2010-04-01,Germany,Net Electricity Production,2552.151,1946.794,0.0,1366.063,9011.847,3145.056,0.0010449282075034737,0.0,0.6028012696017514,0.22913877733154844,0.27483305509181966,0.45264339661155345,0.5338619094813345,0.5966578549848942,0.05603448275862069,6457.9130000000005
11,2010-04-01,Greece,Net Electricity Production,12.181,389.743,0.0,13.167,651.204,236.113,0.004999999999999999,3.815828184760224e-06,0.7593415297148738,0.043953592146363234,0.0891068447412354,0.5750153092467851,0.593161546085233,0.712046827794562,0.03841829085457271,639.023
12,2010-04-01,Hungary,Net Electricity Production,196.303,13.417,0.0,0.096,237.923,28.107,0.0001519221861973136,0.0,0.5848163575983729,0.15093708165997324,0.20158597662771283,0.5001020616452339,0.5592996366038984,0.6501132930513596,0.12286356821589205,41.62
13,2010-04-01,Iceland,Net Electricity Production,0.0,1012.393,0.0,0.0,1381.185,0.0,0.0,0.0,0.46477839974427687,0.47132976349843825,0.5034432387312187,0.30322514798938566,0.6998678559629997,0.414767749244713,0.16404297851074462,1012.393
14,2010-04-01,Ireland,Net Electricity Production,28.662,107.958,0.0,0.059,322.416,185.737,0.0,0.0,0.5484985031351952,0.24464524765729587,0.29142320534223703,0.44151867728107785,0.7352163858605881,0.5944486404833836,0.11309345327336331,293.754
15,2010-04-01,Italy,Net Electricity Production,675.381,4170.543,0.0,142.893,5963.246,544.783,0.0014520611394163965,0.0,0.6668655809563075,0.11334225792057118,0.1635016694490818,0.5254133496631967,0.6762471093491905,0.6614425981873111,0.12756121939030485,4858.219
16,2010-04-01,Japan,Net Electricity Production,1013.117,9503.568,0.0,24.24,10880.474,129.97,0.0030986567855488655,0.0009255663430420713,0.5662054915366839,0.16967871485943775,0.2190108514190317,0.4896917738313943,0.6172778328377934,0.6251888217522659,0.34057971014492755,9657.777999999998
17,2010-04-01,Korea,Net Electricity Production,75.89,483.864,0.0,85.955,713.792,68.083,0.0,0.0,0.6401239889798702,0.20972780008924588,0.2585559265442404,0.4629312104511126,0.5097456227287743,0.6095921450151057,0.1757871064467766,637.902
18,2010-04-01,Latvia,Net Electricity Production,0.963,934.804,0.0,0.0,938.876,3.109,0.0,0.0,0.5096534634872653,0.32418563141454715,0.36581803005008345,0.3929781588079201,0.6518004625041295,0.5473187311178247,0.07661169415292353,937.913
19,2010-04-01,Lithuania,Net Electricity Production,6.232,110.793,0.0,0.0,135.608,18.583,0.0,0.0,0.5040949914494676,0.2958500669344043,0.33900250417362265,0.41049193713002663,0.6149653121902875,0.5634629909365558,0.07674912543728135,129.376
20,2010-04-01,Luxembourg,Net Electricity Production,6.786,134.915,0.0,2.533,148.815,4.581,0.0,0.0,0.6155206560666215,0.22679607318161538,0.273059265442404,0.45352112676056344,0.5355137099438388,0.6020959214501511,0.06066966516741629,142.029
21,2010-04-01,Mexico,Net Electricity Production,60.672,1904.65,0.0,2.781,2563.963,103.06,0.2191292264937471,0.1290085319211533,0.8640928548596152,0.008485051316376618,0.0225271285475793,0.6850377628087366,0.3293690122233234,0.8294939577039275,0.06991504247876063,2010.491
22,2010-04-01,Netherlands,Net Electricity Production,575.313,12.0,0.0,8.152,949.184,353.719,0.0010873089393237609,0.0,0.6004844049805913,0.22657295850066936,0.2731636060100167,0.45378648703817115,0.6395771390815991,0.6003021148036254,0.05291104447776111,373.871
