Country,parameter,Jan-10,Feb-10,Mar-10,Apr-10,May-10,Jun-10,Jul-10,Aug-10,Sep-10,Oct-10,Nov-10,Dec-10,Jan-11,Feb-11,Mar-11,Apr-11,May-11,Jun-11,Jul-11,Aug-11,Sep-11,Oct-11,Nov-11,Dec-11,Jan-12,Feb-12,Mar-12,Apr-12,May-12,Jun-12,Jul-12,Aug-12,Sep-12,Oct-12,Nov-12,Dec-12,Jan-13,Feb-13,Mar-13,Apr-13,May-13,Jun-13,Jul-13,Aug-13,Sep-13,Oct-13,Nov-13,Dec-13,Jan-14,Feb-14,Mar-14,Apr-14,May-14,Jun-14,Jul-14,Aug-14,Sep-14,Oct-14,Nov-14,Dec-14,Jan-15,Feb-15,Mar-15,Apr-15,May-15,Jun-15,Jul-15,Aug-15,Sep-15,Oct-15,Nov-15,Dec-15,Jan-16,Feb-16,Mar-16,Apr-16,May-16,Jun-16,Jul-16,Aug-16,Sep-16,Oct-16,Nov-16,Dec-16,Jan-17,Feb-17,Mar-17,Apr-17,May-17,Jun-17,Jul-17,Aug-17,Sep-17,Oct-17,Nov-17,Dec-17,Jan-18,Feb-18,Mar-18,Apr-18,May-18,Jun-18,Jul-18,Aug-18,Sep-18,Oct-18,Nov-18,Dec-18,Jan-19,Feb-19,Mar-19,Apr-19,May-19,Jun-19,Jul-19,Aug-19,Sep-19,Oct-19,Nov-19,Dec-19,Jan-20,Feb-20,Mar-20,Apr-20,May-20,Jun-20,Jul-20,Aug-20,Sep-20,Oct-20,Nov-20,Dec-20,Jan-21,Feb-21,Mar-21,Apr-21,May-21,Jun-21,Jul-21,Aug-21,Sep-21,Oct-21,Nov-21,Dec-21,Jan-22,Feb-22,Mar-22,Apr-22,May-22,Jun-22,Jul-22,Aug-22,Sep-22,Oct-22,Nov-22,Dec-22,Jan-23,Feb-23,Mar-23,Apr-23,May-23,Jun-23,Jul-23,Aug-23,Sep-23
Afghanistan,CDD_21,0,0.08307,2.314,15.45,48.59,98.16,134.8,99.83,37.44,13.55,0.007968,0,0,0.00005593,0.659,16.18,78.5,134.5,143.4,137.7,46.23,7.423,0.02537,0,0.000006871,0.002273,1.388,7.45,38.54,90.41,148,119.1,32.43,2.376,0.002388,0,0.00007156,0,0.7963,6.439,47.05,121.4,149,109.4,52.1,11.72,0,0,0,0,0.2,8.993,39.89,111.9,144.7,108.4,54.29,9.866,0.1027,0,0.000003096,0.09914,0.7837,11.66,49.59,113.3,155.8,106.8,30.14,13.25,0.009414,0,0.0000007416,0.1241,0.907,10.83,68.96,117.6,155.2,102.8,64.12,5.216,0.2905,0.0004381,0,0.0004487,0.9496,17.47,77.49,138.2,167.6,116.4,49.15,7.863,0.2435,0,0,0.05785,5.622,15.79,38.45,121.7,179.6,133,42.14,3.749,0.00001702,0,0.0009995,0.000585,0.4778,9.061,44.02,93.45,189.7,127.3,61.23,6.574,0.0153,0,0,0.04215,0.3567,9.006,48.36,115.7,154.8,133.6,32.92,2.019,0.005105,0,0,0.03469,3.358,19.49,62.29,136.9,166.3,102.4,57.46,4.278,0.00007867,0.000001955,0,0.0009432,3.52,28.89,54.34,110.9,147.1,86.05,48.58,3.628,0.2168,0,0,0.03546,1.403,15.1,49.77,128.7,138.2,105.1,45.66
Aland Islands,CDD_21,0,0,0,0,0,0,3.24,0,0,0,0,0,0,0,0,0,0,0,0.01441,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.99,6.741,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.03,9.659,0,0,0,0,0,0,0,0,0,0,3.38,0,0,0,0,0,0,0,0,0,0,0.1961,0,0,0,0,0,0,0,0,0,0,0,0,3.661,0,0,0,0,0,0,0,0,0,0,0.9084,0.5018,1.192,0,0,0,0,0,0,0,0,0,0,0,0.02232,0
Albania,CDD_21,0,0,0,0,0.665,32.04,71.27,85.33,3.345,0,0,0,0,0,0,0,1.937,28.13,69.52,94.69,55.37,1.004,0,0,0,0,0,0,0.2049,62.47,136.4,114.5,32.79,2.066,0,0,0,0,0,0.1921,1.878,35.5,77.12,102.8,12.03,0.2017,0,0,0,0,0,0,0.2882,28.34,47.59,71.79,5.967,0.4715,0,0,0,0,0,0,2.187,24.6,136.7,110.5,44.43,0.1649,0,0,0,0,0,0,0.7601,46.52,93.88,75.18,14.48,0.0786,0.001207,0,0,0,0,0,0.4201,58.19,117.1,128.9,11.72,0,0,0,0,0,0,0.9511,8.289,31.46,72.97,96.57,26.53,0.5744,0,0,0,0,0,0,0.00002424,72.3,82.12,118,29.29,0.5589,0,0,0,0,0,0,9.986,19.11,84.03,101.7,49.2,5.714,0,0,0,0,0,0,0.8218,58.19,121,126,13.92,0.02854,0.1141,0,0,0,0,0,7.771,78.6,120.2,101.2,24.62,0.1007,0,0,0,0,0,0,0.3424,31.59,137.7,100.9,42.45
Algeria,CDD_21,0.001021,1.124,4.328,9.493,18.84,80.89,216.8,198.3,82.96,29.18,0.5832,0.1806,0.05845,0.03005,1.51,7.818,25.58,95.59,204.1,216.9,107.4,8.444,0.5174,0.0007144,0.0001336,0.0413,1.128,7.25,36.08,168.8,228.4,260.4,96.41,37.41,4.581,0.02622,0.0001912,0.03811,2.365,8.769,21.64,68.62,185.5,172,83.66,53.73,0.8948,0.001208,0.007852,0.02375,0.5955,9.664,31.04,97.29,190,213.3,142.1,38.61,1.56,0.02011,0.00004153,0.08057,0.5631,12.98,55.72,93.79,239.1,216.9,94.55,26.93,1.065,0.000006556,0.007951,0.2202,2,13.2,41.76,116,206.7,177.1,95.92,42.69,2.105,0.0481,0.0005316,0.5483,1.349,9.782,55.2,154.7,237.9,241.3,84.88,11.5,0.6774,0.01043,0.009567,0.05766,2.111,9.389,24.76,85.97,240.1,170.2,113.9,13.85,0.5375,0.0009573,0.00007782,0.004533,0.8104,7.187,22.2,141.2,241.1,230.1,103.6,25.04,1.174,0.02702,0.03292,0.1042,1.232,9.465,49.04,108.9,225.6,241.4,88.86,15.14,3.037,0.05792,0.2595,0.278,0.996,11.1,49.96,147.7,254.6,256.1,151.6,15.87,2.311,0.01387,0.000002621,0.302,1.866,5.676,57.2,190,246.3,239,154.3,43.9,0.8316,0.3534,0.001849,0.1261,3.547,20.24,22.74,123.3,313.4,222.5,128.7
American Samoa,CDD_21,195.2,176,217.1,202.6,208.6,186.6,178.1,167.9,157.1,162.7,167.6,164.1,157.2,142.6,175.5,182.1,184.3,171,170.6,159.8,157.8,157.3,163.6,174.5,184.9,164.6,173.1,182.8,177.5,165.7,160.6,159.6,170.2,188.6,183.6,185.7,191.2,168.7,189.8,193.7,200.2,185.2,163.6,167.5,167.1,170.7,173.7,183.6,178.4,181.6,202.2,186.2,188.2,169.1,165.3,153.1,165.2,181.7,173.2,187.8,202.8,181.4,196.7,184.6,182.9,171.6,157.7,140.3,147.7,155.6,177.8,189.2,209.5,203.7,205,195.2,190.7,170.6,160.7,168.4,165.9,194.7,182.9,203.8,205,185.1,202.2,198.5,197.5,182.2,174.8,168.3,166.3,172.2,170.4,188,187.4,174.1,191.2,182.3,189.3,185.8,168.9,160.7,169.7,173.8,184.6,196.2,213.5,195.8,211.2,204.2,190.6,191,174.5,184.6,167.2,175,176.2,191,194.5,179.5,207.4,202,213.5,180.7,174.4,175.4,162.7,171,172.2,178.6,183.4,160.4,189.5,186.2,197,166.9,177.8,159.6,166.4,180.5,174.5,176.9,201.7,149.7,192.3,191.7,187.4,174,160.7,142.4,154.2,163.3,162.4,180,180.1,166.5,196.5,187.2,195.9,186,179.2,188.5,165.4
Angola,CDD_21,74.93,76.95,77.84,73.8,58.79,27.94,20.97,30.24,69.5,93.66,71.31,56.11,61.96,67.74,81.07,72.25,62.54,28.94,13.43,22.58,63.03,75.7,67.87,53.92,67.2,65.95,90.47,82.92,73.37,38.63,21.47,36.23,67.89,83.84,77.08,71.54,88.81,90.98,95.61,87.97,82.33,33.98,14.07,29.55,62.38,87.71,79.33,76.31,97.39,96.78,100.3,88.93,95.65,45.91,12.47,34.15,57.74,89.52,85.75,79.72,90.19,91.64,102.4,86.07,89.33,23.63,22.52,32.39,64.4,96.79,95.19,90.63,110.2,104,116.9,109.9,81.57,42.41,24.66,44.54,69.87,106.8,101.8,96.23,100.5,91.36,110.3,99.14,94.57,42.56,18.04,32.56,77.83,99.22,93.07,93.59,95.78,101.7,101.8,101.9,90.47,48.75,30.65,41.3,72.8,108.9,120.4,108.6,119.4,118.8,134.7,124.9,112.8,42.79,27.89,40.58,82.46,110.5,118.6,114.9,129.1,124.9,141,122.4,124.3,61.93,37.65,39.61,67.82,109.5,117.8,111.9,126,131.3,132.1,125.2,109.6,75.52,42.49,52.55,81.72,112.7,124,123.7,119.3,115.2,140,115.1,100.1,48.81,24,22.99,69.22,117.4,112.4,123.5,122.3,131.3,137.9,132,122.4,47.95,24.54,37.91,77.71
Anguilla,CDD_21,144.6,126.5,156.5,150.7,183.9,191.2,205,215.8,198,193.8,161.9,137.2,130.5,98.26,101.4,124.3,158.2,196.4,188.4,201.3,188.7,191,160.9,141.4,115.3,107.7,103.9,132.6,148.9,190.4,195.8,202.4,196.6,192.7,181.3,150,127.5,104.7,117.6,125.4,152.2,163.3,181.4,196.5,196.7,197.2,162.4,144.2,126.9,105.1,121.7,127,149.2,168.1,182.3,190.2,189.3,192.7,169.9,142.7,132.6,118.8,123.3,128.8,160.6,173.9,185.8,198.7,201,204.4,175,156.6,132.5,117.5,125.9,143.6,166.5,181.5,192.3,207.8,200.2,199.4,170.8,159,124.9,113.4,121.2,128.9,157.4,179.1,196.9,209.1,193.8,186.9,172.1,153.6,133.8,97.03,119.2,128.5,140.6,167.7,183.4,188.6,191.5,183.8,166,148.2,120.7,106.6,123.3,126.8,152.8,177.4,196.8,206.2,205.8,206.8,170.9,164.6,134.2,123.1,125.2,152.3,176.6,190.4,203.3,210.8,200.3,196.1,165.2,145.4,130.9,115.1,118.2,129.6,162.5,165.8,191.1,202.7,200.2,204.3,172.6,156.6,131.1,102.3,123.5,121.1,161.1,180.6,190,200.6,194.6,193.9,167.3,143.6,122,103.1,120.5,127.1,180.4,202.8,220.8,228.8,229.8
Antigua and Barbuda,CDD_21,148.8,136.7,163.9,156.9,187.9,193.4,207.5,212.6,200.6,196.2,168.5,146.8,131.6,103.4,110,130.8,173.1,200.9,188,198.1,188.1,190.1,164.7,145,124.2,112.9,111.8,136.2,155,188.6,191,200,195.2,190.4,183.9,151.4,131.6,109.2,125.8,127.7,157,164.4,179.9,193.3,194.2,196.8,167.5,145,128.7,104.7,124.7,126.9,152.7,168.5,182.1,189.9,185.8,191.9,172,147.3,133.6,119,122,127.7,163.5,170.1,181.9,194.4,201.7,205.7,173.8,156,133.4,119.7,126.7,144.8,168.8,180.3,191.2,205.5,196.7,198.1,174.9,159.2,127.9,116.8,124.8,133,162.6,176.2,194.2,206.5,192.9,187.5,173.2,154.2,135,99.76,126.6,129.5,141.2,167.5,179.6,185,189.1,184,165,147.6,119.8,109.5,124.2,127,154.1,176.3,193.3,200.3,206.8,207.7,172,165.1,136.9,122.5,126.6,155.4,177.2,190.5,200.5,209,197.6,193,165.5,144.1,136.3,113.9,121.2,133.8,160.2,167.7,187.9,198.9,199,203.3,170.1,154.2,129.9,106.3,122.2,124.3,165.8,179.1,185.9,195.9,194.2,192.4,169,144.3,124.7,99.95,122,127.8,179.7,200.2,216.6,227.2,226.6
Argentina,CDD_21,115.6,83.1,52.01,9.308,0.1755,0.7553,1.719,2.796,4.329,7.587,28.4,98.32,110.3,52.95,46.11,9.535,1.742,1.276,1.821,3.665,9.551,11.63,53.14,75.81,131.7,97.94,55.16,10.38,2.91,2.297,1.024,6.458,12.65,21.6,54.74,94.71,109.1,79.17,22.4,9.029,3.617,0.4415,1.644,2.803,16.47,20.79,39.9,148,131.4,61.32,16.84,14.07,2.215,0.7113,1.361,8.566,8.497,46.92,38.74,74.09,96.29,75.94,66.3,17.24,4.129,3.021,1.936,9.758,6.909,13.09,23.03,91.53,118.7,109.7,25.69,19.69,0.07047,0.04852,1.146,3.91,5.903,10.8,33.03,97.64,125.7,91.35,46.14,7.419,2.428,2.013,3.043,5.991,9.802,14.33,32.84,99.26,108.2,92.45,49.1,40.04,6.332,0.7284,1.305,2.123,13.97,15.01,40.04,73.05,103.2,80.4,29.58,11.94,3.006,2.934,1.221,3.905,10.59,26.64,60.91,82.35,105,78.1,81.78,10.32,2.142,4.768,2.485,8.273,12.29,30.73,45.4,80.35,101.4,54.26,44.58,16.19,2.307,1.015,1.45,6.794,11.62,30.62,41.57,105.5,148.1,63.14,30.8,8.255,0.3912,0.1511,4.961,3.919,2.237,15.34,67.53,117.8,142.8,104.4,126.7,8.873,2.565,2.929,3.632,8.512,12.52
Armenia,CDD_21,0,0,0,0,0,17.48,73.64,56.76,19.44,0,0,0,0,0,0,0,0.0006333,13.2,65.74,41.09,1.796,0,0,0,0,0,0,0,0.008442,14.45,39.37,63.99,1.569,0,0,0,0,0,0,0,0,11.03,37.89,27.69,4.961,0,0,0,0,0,0,0,0.05814,12.16,54.15,71,11.6,0,0,0,0,0,0,0,0.02375,18.25,72.7,71.24,7.698,0,0,0,0,0,0,0,0,12.74,40.79,69.76,2.423,0,0,0,0,0,0,0,0.004327,17.38,76.51,87.99,22.89,0,0,0,0,0,0,0,0,18.89,104,44.67,6.922,0,0,0,0,0,0,0,0.09474,34.35,63.39,64.51,0.5781,0,0,0,0,0,0,0,0.07845,9.041,57.87,21.86,14.58,0,0,0,0,0,0,0,3.538,56.08,65,67.48,7.523,0,0,0,0,0,0,0,0.314,23.47,70.99,87.03,21.95,0,0,0,0,0,0,0,0.01613,8.166,55.64,89.47,18.01
