Country,parameter,Jan-10,Feb-10,Mar-10,Apr-10,May-10,Jun-10,Jul-10,Aug-10,Sep-10,Oct-10,Nov-10,Dec-10,Jan-11,Feb-11,Mar-11,Apr-11,May-11,Jun-11,Jul-11,Aug-11,Sep-11,Oct-11,Nov-11,Dec-11,Jan-12,Feb-12,Mar-12,Apr-12,May-12,Jun-12,Jul-12,Aug-12,Sep-12,Oct-12,Nov-12,Dec-12,Jan-13,Feb-13,Mar-13,Apr-13,May-13,Jun-13,Jul-13,Aug-13,Sep-13,Oct-13,Nov-13,Dec-13,Jan-14,Feb-14,Mar-14,Apr-14,May-14,Jun-14,Jul-14,Aug-14,Sep-14,Oct-14,Nov-14,Dec-14,Jan-15,Feb-15,Mar-15,Apr-15,May-15,Jun-15,Jul-15,Aug-15,Sep-15,Oct-15,Nov-15,Dec-15,Jan-16,Feb-16,Mar-16,Apr-16,May-16,Jun-16,Jul-16,Aug-16,Sep-16,Oct-16,Nov-16,Dec-16,Jan-17,Feb-17,Mar-17,Apr-17,May-17,Jun-17,Jul-17,Aug-17,Sep-17,Oct-17,Nov-17,Dec-17,Jan-18,Feb-18,Mar-18,Apr-18,May-18,Jun-18,Jul-18,Aug-18,Sep-18,Oct-18,Nov-18,Dec-18,Jan-19,Feb-19,Mar-19,Apr-19,May-19,Jun-19,Jul-19,Aug-19,Sep-19,Oct-19,Nov-19,Dec-19,Jan-20,Feb-20,Mar-20,Apr-20,May-20,Jun-20,Jul-20,Aug-20,Sep-20,Oct-20,Nov-20,Dec-20,Jan-21,Feb-21,Mar-21,Apr-21,May-21,Jun-21,Jul-21,Aug-21,Sep-21,Oct-21,Nov-21,Dec-21,Jan-22,Feb-22,Mar-22,Apr-22,May-22,Jun-22,Jul-22,Aug-22,Sep-22,Oct-22,Nov-22,Dec-22,Jan-23,Feb-23,Mar-23,Apr-23,May-23,Jun-23,Jul-23,Aug-23,Sep-23
Afghanistan,Global horizontal irradiance (surface),537602,635005,885965,1014586,1116551,1195268,1169426,1016882,945373,757298,609965,524471,534475,608107,871990,1051325,1157132,1223378,1202425,1091887,929270,728148,523128,517739,543897,661074,888979,1000757,1140691,1191739,1188002,1089431,916315,747800,553467,483610,558216,646674,850358,1006969,1178276,1197065,1189781,1064153,961155,756096,541838,493688,529300,698993,830365,1011055,1095172,1217323,1195842,1115076,958957,737553,563788,503369,519315,632308,807726,1037882,1124187,1220696,1117859,1087514,945299,736180,531834,481468,538904,747151,776662,1003793,1142649,1190784,1159328,1088067,951514,763193,571631,501004,509818,632262,839993,1060284,1153244,1224540,1165619,1110065,954849,774295,568299,505232,563045,656281,866609,1015672,1124865,1227974,1188026,1123789,959163,736014,556585,513187,522726,653387,846257,951767,1147002,1206208,1181272,1096454,963571,727701,543724,500493,498474,699831,805780,971292,1146272,1226774,1167293,1085245,955430,778002,554743,487181,598733,707786,848149,1074701,1145480,1251345,1150931,1112036,959533,768811,581403,496186,508901,697356,877978,1075681,1161455,1210801,1127458,984063,965973,774342,559041,481579,532060,668531,830131,1061091,1143735,1212949,1156819,1112376,960893
Aland Islands,Global horizontal irradiance (surface),38074,133943,361771,590018,807283,994121,927224,626259,404767,205582,63434,25404,47897,141383,400584,620685,859673,963449,865876,681391,383850,207781,59445,26726,41845,141074,360746,584980,887154,856651,839998,637818,376562,170906,62210,21976,44853,131024,415140,639032,839159,919345,898402,716812,420183,207036,67857,27439,34276,114994,364484,676895,772111,900657,975605,689128,450821,156324,42819,28189,39641,139867,310947,669014,830580,918014,824057,792009,390879,238171,63950,29767,40452,146491,337754,629727,905986,966261,921919,627523,451927,175761,62627,30082,54309,139026,362624,658216,918662,967658,926185,661632,412070,172171,67972,26672,41931,140736,366201,617812,993504,994916,950435,704298,441247,202297,57612,21753,43398,146956,319875,678840,854148,967481,919320,711764,414706,167451,50354,23741,46444,155855,365722,715637,924841,1052405,887477,756866,409669,167202,62951,16260,34261,142109,347586,705202,768208,1033537,967437,640644,390074,165096,62026,27185,44873,141756,420751,705265,891432,1012216,872575,708823,422095,196127,55726,23986,44611,133440,318733,663386,984749,1083425,911614,581873,412966
Albania,Global horizontal irradiance (surface),260796,347113,619008,771422,918203,999113,1016820,974529,655335,425254,302548,241265,299066,446247,638804,850901,918202,1055054,1052041,978804,759198,531415,384476,254082,342731,396077,714842,741456,926436,1156008,1100331,994043,731526,506636,309758,243420,271865,382721,512502,831212,918804,1034239,1041155,917787,725365,508770,300649,298252,275459,403924,660132,711989,858783,1018943,1022231,956703,643555,469934,323200,249110,298068,437787,563290,845250,990950,1032925,1085196,915453,699709,454896,370686,330215,284326,387164,552891,870339,871977,1023273,1038421,928451,648385,454062,308563,323781,309383,426520,679358,839819,927265,1085216,1078400,993321,698927,562012,310546,257878,307642,333857,526747,907907,898573,908410,1023127,858606,773305,511425,326221,263975,289291,466932,713149,774275,819121,1049647,1030949,973901,721247,558673,272696,251057,338428,463685,605219,811671,962700,986417,1071743,928423,721906,487982,370655,225382,257609,453888,649511,799812,970558,1102846,1086824,974060,719420,458293,304994,241615,339703,445433,706938,823007,1005982,1063160,1088844,885790,696339,547377,297098,232313,295345,512441,637797,789922,829563,950634,1127087,908762,740481
Algeria,Global horizontal irradiance (surface),652502,766332,954369,1044117,1132056,1160980,1152998,1075599,947683,791570,669390,594809,623851,783609,911784,1085407,1117863,1173789,1157407,1097033,986397,797970,678400,593112,641064,778654,926376,1060264,1176115,1183166,1163135,1088162,957226,799077,654887,596636,651337,808726,952583,1084871,1154175,1202704,1151240,1090022,956734,830061,669044,573395,626696,794697,956322,1124920,1130156,1190166,1161597,1084655,964974,836938,647211,591042,636946,757007,943170,1125516,1193600,1202362,1150347,1055981,927061,783556,680480,602724,634126,784233,969529,1086496,1116482,1185181,1159038,1077079,955039,817750,645765,562860,650253,785397,950682,1087993,1134496,1135306,1160173,1085914,980056,839134,672514,578704,645545,733930,958298,1087669,1135762,1185939,1161025,1032654,916440,792890,657934,615584,656136,813192,922298,1096790,1148343,1192018,1154088,1067447,961120,825517,676636,595772,644850,798375,946462,1054925,1150629,1178302,1148240,1084157,970714,837231,665421,590246,653032,792362,944211,1093114,1137262,1165236,1163253,1100209,990341,834174,656781,589073,651642,773320,935291,1106895,1172519,1181672,1159095,1093697,967772,832725,686272,595691,654241,757418,967985,1112951,1140217,1183232,1164723,1084119,972251
American Samoa,Global horizontal irradiance (surface),824779,807686,903215,797619,715583,672109,679691,795552,824396,934185,921353,935521,721242,813619,958651,859331,754897,691271,733118,832588,985244,871492,866697,927415,845165,839021,775752,800545,661840,643554,668011,799487,909325,966830,946613,873720,733627,916927,868510,787529,696861,661703,627493,766852,869871,949474,936187,895661,795187,915736,905023,790093,709826,674953,613560,746072,907336,945483,861570,783711,865761,908529,728795,775163,626884,615249,656388,743952,861840,887310,834761,912746,973095,907800,853078,574965,645222,624029,654293,764406,895767,1017658,934630,873356,934430,793667,897955,772998,612689,634493,697912,753656,902337,865770,872373,850370,866503,818836,893737,716461,729817,667057,658332,773664,886807,930199,885175,865023,892504,752060,922938,799743,610769,644620,622984,811313,845396,876561,995032,820043,720001,663261,928915,755222,724234,592308,661493,788574,858704,852149,917909,819983,891551,815334,859294,790120,749006,647223,713473,735999,956288,964056,960019,967656,951869,736352,953109,838148,713323,687199,685319,802963,928823,962878,955340,964244,903934,893524,865200,779466,679372,667187,669399,804986,866735
Angola,Global horizontal irradiance (surface),836700,841664,769543,768997,809594,819895,797873,932479,940310,980543,869742,799985,774957,813118,784232,801272,824235,810076,835549,919875,973564,944893,840472,793461,855831,837286,815331,862770,838608,804310,824203,864598,938072,905556,852256,784533,841859,850453,814444,869714,844822,817871,824447,900215,922851,970407,855625,792258,860793,893548,771817,754022,821389,801433,835480,871262,943044,945406,848654,805548,830242,882362,841977,798890,849515,790481,811606,898219,933761,939308,902918,796214,856237,811347,754623,816756,851309,821020,830568,879259,931331,971019,912570,838004,852016,834859,819674,827843,793757,788642,807577,896753,938675,891258,900935,778802,847746,843054,803466,745025,745391,811406,823369,857994,927895,958623,945048,888132,852436,884638,895357,809077,792965,829149,836148,858150,936132,916466,886329,832581,785343,777814,781633,799748,840119,812958,841612,853446,949106,976883,859141,845486,852427,879095,799240,816723,827197,819429,846181,872289,948593,958295,927752,885850,861233,818775,805169,786676,842877,818267,799488,892772,929009,950019,862749,882917,752881,911645,801231,801403,821136,780889,820991,895316,943529
Anguilla,Global horizontal irradiance (surface),713574,807937,900615,986636,920877,933847,901902,946767,906157,741118,701342,642434,713720,816495,950354,993823,879104,907895,893045,891304,840688,864539,692281,641679,719358,841592,915104,1013373,925089,1056474,981974,928555,925544,767547,736055,667659,697983,830873,895139,989906,934668,933748,970743,960940,899655,791392,696868,646827,722385,821615,940900,1005349,951430,1004487,1015482,922860,889849,820013,689414,663047,731374,832682,937414,1023544,1022707,1006042,1015926,973687,917348,778879,713508,680444,706653,819867,908814,908795,956590,1009774,988380,973544,902916,791384,625588,669395,720361,851144,919524,955973,1005620,1015940,978632,976113,778875,782015,699152,686189,698137,813991,974160,1009110,1038092,1022015,1008358,977684,915478,767949,700573,674122,715602,799357,955612,1054075,981927,1020811,985554,960136,889489,830561,736516,666549,688631,829675,934502,1025304,1057364,1052502,990603,965968,910604,787785,684891,692580,709366,819960,945377,1002954,1030886,937926,1004976,964447,912641,831772,733917,676835,725782,787308,945862,997294,1015834,1026840,981364,996334,825090,797582,684481,700825,693151,817034,963408,1002428,1028323,1013678,972446,927008,957723
Antigua and Barbuda,Global horizontal irradiance (surface),741022,858555,934659,977445,949529,948667,933106,949817,905910,736172,725958,655605,733179,831986,960769,966025,909763,959014,914015,881061,844489,862535,694866,636916,739041,847251,922407,994459,910374,1022226,985993,900415,911659,776713,758485,695465,712783,855502,940852,981486,929397,956192,992106,959340,918298,802413,739173,673617,741861,823890,980396,1010495,971515,1013394,1013166,931717,896175,816499,700735,687412,751682,819101,936096,1012172,1023118,1000750,1011765,946164,946190,812194,720103,697913,717197,845817,909586,953166,952567,1000291,988060,978386,890252,813506,664443,691825,748646,864769,939205,951549,981383,981813,988302,964419,797953,823201,747005,702625,716041,822773,974140,1016276,1029711,1012744,990466,978752,916359,810844,714987,711916,725742,827855,964509,1029215,955975,1010564,970104,947455,916149,859059,751756,686209,716015,818488,955466,1041770,1049926,1037330,995173,975300,912513,797854,689843,710785,732308,840156,956415,981499,1026812,934755,994344,968796,928653,826969,767644,707317,741826,818692,936527,990458,997669,1004627,975450,990429,856967,814583,706996,716036,723291,828932,949836,1008745,1022691,1006152,975826,936324,953859
Argentina,Global horizontal irradiance (surface),1128235,892517,779096,603274,433092,365795,429262,579641,728308,946866,1108640,1169538,1085888,913339,795693,607041,444773,366035,418252,564375,796855,913928,1098613,1193298,1144051,953562,805512,560576,434623,384059,453253,519044,743607,892950,1085783,1117645,1133709,989595,765459,619671,449343,388507,419707,589816,712348,945578,1101628,1202710,1143280,912684,783458,541794,391787,371109,408478,574612,701410,918500,1068917,1135062,1103478,950152,786052,581138,422393,374939,421471,508047,717775,832462,1026654,1109776,1088887,948094,771246,496032,347560,368264,389459,580190,757974,859464,1106231,1160182,1146907,951161,760352,543077,387077,369463,407282,551988,710134,937072,1120992,1145972,1097241,1010967,836030,577551,407273,392219,382273,589240,713421,850310,1045985,1153084,1065079,1019384,755796,585184,403190,356924,418341,588705,782129,891091,1088262,1166593,1121115,994310,805670,627965,474095,379205,416050,594342,793377,970500,1121683,1196537,1098673,984943,768499,590940,460651,375079,467773,601868,739431,987144,1078310,1149376,1122188,996637,819624,617485,460632,395041,415389,588528,780309,980123,1150860,1201560,1134803,1047657,810337,593489,441307,375558,401318,581984,712008
Armenia,Global horizontal irradiance (surface),344307,492953,665650,754952,906501,1047499,1056809,955839,742515,494314,472190,358194,374506,500716,749431,750311,885549,1014211,1020693,846205,713015,533585,398139,347949,371416,555838,751347,851775,912106,1001254,933477,938298,720781,542266,366792,301555,383679,527992,721931,870497,873040,1025097,921004,872421,763858,574068,360042,362050,389730,579500,702922,883456,925612,1014799,996186,983037,724647,501396,382548,311799,400021,536081,673477,865533,924496,1057344,1035439,909160,755993,455606,415221,349855,367803,515249,703408,871589,922725,973660,931412,956176,707630,526784,427465,332437,412026,592175,725244,865464,929754,1042244,1037189,995138,770830,556054,397047,340000,363844,515856,685299,865165,884451,1016438,1038234,868718,765259,558233,340345,276225,388413,534873,628894,842757,993807,1036353,1054912,946353,686256,590746,428884,318936,392304,514154,651833,802342,977488,1076778,994499,884799,742784,580078,385292,311011,388057,558146,699929,890602,969689,1103761,969507,965917,742897,533611,396174,359015,391550,542720,684679,896127,918796,1022968,1053635,986130,783654,544381,390312,317776,407006,550167,631782,827203,922415,978382,1034926,964309,692295
