Country,parameter,Jan-10,Feb-10,Mar-10,Apr-10,May-10,Jun-10,Jul-10,Aug-10,Sep-10,Oct-10,Nov-10,Dec-10,Jan-11,Feb-11,Mar-11,Apr-11,May-11,Jun-11,Jul-11,Aug-11,Sep-11,Oct-11,Nov-11,Dec-11,Jan-12,Feb-12,Mar-12,Apr-12,May-12,Jun-12,Jul-12,Aug-12,Sep-12,Oct-12,Nov-12,Dec-12,Jan-13,Feb-13,Mar-13,Apr-13,May-13,Jun-13,Jul-13,Aug-13,Sep-13,Oct-13,Nov-13,Dec-13,Jan-14,Feb-14,Mar-14,Apr-14,May-14,Jun-14,Jul-14,Aug-14,Sep-14,Oct-14,Nov-14,Dec-14,Jan-15,Feb-15,Mar-15,Apr-15,May-15,Jun-15,Jul-15,Aug-15,Sep-15,Oct-15,Nov-15,Dec-15,Jan-16,Feb-16,Mar-16,Apr-16,May-16,Jun-16,Jul-16,Aug-16,Sep-16,Oct-16,Nov-16,Dec-16,Jan-17,Feb-17,Mar-17,Apr-17,May-17,Jun-17,Jul-17,Aug-17,Sep-17,Oct-17,Nov-17,Dec-17,Jan-18,Feb-18,Mar-18,Apr-18,May-18,Jun-18,Jul-18,Aug-18,Sep-18,Oct-18,Nov-18,Dec-18,Jan-19,Feb-19,Mar-19,Apr-19,May-19,Jun-19,Jul-19,Aug-19,Sep-19,Oct-19,Nov-19,Dec-19,Jan-20,Feb-20,Mar-20,Apr-20,May-20,Jun-20,Jul-20,Aug-20,Sep-20,Oct-20,Nov-20,Dec-20,Jan-21,Feb-21,Mar-21,Apr-21,May-21,Jun-21,Jul-21,Aug-21,Sep-21,Oct-21,Nov-21,Dec-21,Jan-22,Feb-22,Mar-22,Apr-22,May-22,Jun-22,Jul-22,Aug-22,Sep-22,Oct-22,Nov-22,Dec-22,Jan-23,Feb-23,Mar-23,Apr-23,May-23,Jun-23,Jul-23,Aug-23,Sep-23
Afghanistan,HDD_18,523.8,487.4,287.6,140.4,77.54,37.42,15.17,18.74,64.96,138,328.8,527.8,578.5,522,386.4,187.6,48.3,18.01,11.06,10.18,43.36,171.9,342.8,587.2,687.6,644.1,450.8,193.8,101.5,36.25,13.42,13.58,64.4,188.7,361.2,599.5,655.2,482.3,360,226.8,89.49,23.38,13.02,16.49,31.59,158.4,373.8,577.1,600,596.6,405.8,213.9,102.8,28.55,12.45,17.09,29.66,173.8,384.9,521.5,560.5,440,406.2,173.2,75.41,26.45,10.1,19.47,64.1,157.3,385.4,554.8,541.2,460.7,320.3,195.5,58.99,20.28,11.12,17.69,26.48,156.9,352,429.4,599.1,499.2,371.4,170.1,50.78,15.98,8.447,13.76,42.46,128.9,335.9,514.4,531.1,427.2,261.1,158.5,94.19,20.58,8.888,13.19,43.02,198.9,341.5,495.5,584.5,530.1,409.8,167.9,85.68,35.44,7.069,13.25,24.01,154.7,401.4,498.8,661.7,464.5,363.4,201.5,81.38,22.12,12.33,10.78,52.09,197.5,407.6,598.8,589.3,351.7,296,158.5,70.79,18.4,9.601,19.47,26.66,191.1,354.6,471.6,598.7,479.4,276.4,101.4,61.56,32.28,7.165,28.71,38.17,160.8,335.7,512.6,707.6,425.5,278.2,175.8,90.19,21.27,13.08,19.2,54.71
Aland Islands,HDD_18,682.2,652.8,628.8,469.7,338,186.4,8.932,42.72,168.3,335.7,498.2,664.8,600.2,646.3,567.6,426.1,312.6,125.1,12.46,30.11,118.3,277.9,347.1,448.6,567,596.8,499.4,451.5,313.8,192.7,56.52,47.87,160.7,317.4,382.6,586.8,606.6,524.3,644.9,462.4,263.7,128.5,64.23,38.08,138,287.6,378.1,448.9,609.5,459.2,483.7,414.5,318.3,203,28.71,50.16,136,277.9,372.5,493.8,517.6,462.2,479.7,403.5,317.6,179.2,73.78,26.13,122.9,283.6,348.5,420.1,642.2,507.1,518.8,432.8,272.6,143.6,32.97,65.44,121.9,328.7,445.3,474.2,542.7,504.1,504,455.6,344.5,185.4,84.54,56.24,147.6,293.4,380.1,466.1,538.7,584.9,619.1,444,240.4,137,38.32,24.15,109.6,289.7,369.4,493.3,567.6,470.3,518.7,406.8,318.2,115.4,80.07,31.85,142.6,316.6,388.9,449,433.8,450.3,475.7,400.7,333.2,85.92,66.47,26.57,117.6,245.7,322,429.1,551.8,543.9,510.4,431.8,333.9,78.27,6.775,61.93,179.2,255.4,398.9,563.3,530.9,489.1,496.2,445.6,305.7,96.94,38.01,22.21,174.9,239,367.2,544.8,516.2,491.9,561.8,447,304.5,117.3,41.37,44.52,79.62
Albania,HDD_18,387.8,325.5,293.4,146.8,63.23,19.95,2.374,0.6479,23.75,132.1,160.9,352.9,407,324.3,285.9,155.1,72.75,7.698,2.542,0.7464,5.551,142.2,280.4,353.8,474,420.8,255.9,164,63.38,3.732,0.0006275,0.2864,10.16,62.47,165.1,393.5,373.1,309.5,262.1,122.2,42.4,20.57,0.8473,0.3435,19.94,84.71,185.8,378,311.9,248,243.3,172.6,85.01,12.79,2.553,0.7307,24.87,99.43,176.6,331.3,401.6,343.3,284.6,180.1,34.85,7.109,0.3403,0.4247,10.48,80.21,188.7,364.2,380.5,223.1,256.8,97.37,77.69,8.062,0.9146,1.172,22.6,91.76,229.1,421.6,489.3,265.7,212.9,167.8,50.8,2.735,1.107,0.5571,26.5,117.8,233,353.8,358.5,316.8,252.6,73.36,23.06,6.71,0.6415,0.466,15.61,49.93,182.6,369.5,458.9,309.4,215.4,147.3,104.2,9.883,1.427,0.0819,8.612,53.75,136.4,302.8,396.9,296.7,255,165.8,61.31,16.29,0.4458,0.6172,10.53,100.6,217.3,269.4,357.1,286.5,311.8,209.7,48.79,12.78,0.2265,0.6235,14.06,125.7,162.2,353.1,409.2,303,345.8,171,41.73,1.691,0.8665,0.6077,25.24,74.21,172.7,247.4,331.7,327.3,244.9,196.1,49.39,5.666,0.1552,1.027,2.593
Algeria,HDD_18,234.6,172.9,151.7,73.86,46.46,0.6429,0,0,1.505,50.48,136.2,226,255.1,242,175.2,51.94,22.87,4.007,0,0,0.2171,27.22,119.6,243.5,291.7,332.7,175.1,113,19.17,0,0,0,1.923,27.1,111.5,233.8,258.1,259.1,144.3,89.49,46.76,3.215,0,0.003798,0.2345,5.884,163,257.8,230.2,185.6,196.4,55.4,19.74,5.073,0,0,0.03995,14.78,83.58,257.5,287.3,260.1,179.5,55.52,15.2,0.1502,0,0,2.028,24.39,128.7,221.5,205.1,184.5,193.1,69.82,28.88,0.9022,0.007809,0,1.605,9.043,122.7,210.7,311.6,170.4,130.2,75.89,4.495,0.2602,0.0009712,0,0.6091,23.7,156.3,263.7,235.9,254.9,163.2,88.03,48.77,1.05,0,0.0001271,0.7977,41.47,130.9,218.5,298.2,234,166.2,99.17,33.05,0.4189,0,0.001388,1.218,23.98,154.3,185.4,270.4,154.9,142.4,68.34,6.55,0.1007,0,0,1.652,40.66,92.82,220.2,234.5,135,163.3,67.75,7.998,0.001521,0,0,0,26.23,162,221.8,290.5,187.9,162.8,102.8,23.36,0,0,0,1.386,3.248,81.39,140.5,275.6,217.3,113.9,57.97,32.02,1.659,0,0,0.125
American Samoa,HDD_18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Angola,HDD_18,0.3067,1.123,0.005264,0.03307,1.647,10.99,6.124,0.6076,0.001872,0.0003135,0.09195,1.619,1.309,0.4137,0.7021,0.155,0.7749,9.988,10.16,1.04,0.006439,0.003131,0.1557,0.2257,1.123,0.2771,0.5186,0.03296,0.2193,6.091,5.563,0.4872,0.0521,0.006186,0.0888,0.8049,0.5954,0.06355,0.04522,0.003565,0.443,3.616,3.595,0.552,0.01255,0.002637,0.2962,0.2276,0.3782,0.02702,0.04659,0.2655,0.5733,2.574,2.632,0.1033,0.01221,0.003149,0.03186,0.1122,0.2298,0.1269,0.1736,0.02265,0.4981,2.773,0.7867,0.3518,0.04504,0.0003899,0.0371,0.008852,0,0.1335,0.003473,0.00001014,1.575,4.314,5.246,0.08526,0.00514,0.0001073,0.001549,0.05336,0.1807,0.02013,0.04988,0.08593,0.08473,2.027,1.724,0.07229,0.00291,0.03399,0.005585,0.1215,0.1397,0.0006456,0.4818,0.03763,0.06744,4.661,3.781,0.03981,0.01128,0.1409,0.00185,0.01137,0.186,0.0001439,0,0.00009743,0.1581,2.569,0.5208,0.04278,0.004348,0.005641,0.0139,0.0043,0.1281,0.02951,0.05697,0.009346,0.2008,5.455,6.356,0.1502,0.003589,0.000258,0.01433,0.1053,0.04261,0.005305,0.1254,0.0004213,1.106,2.927,3.865,0.1052,0.01213,0.0005296,0.0007841,0.00518,0.04801,0.6124,0.005548,0.04034,0.4701,4.434,2.096,0.4477,0.006414,0.005374,0.04315,0.0247,0.2114,0.002543,0.03505,0.08458,0.009919,2.235,3.643,0.1665,0.01403
Anguilla,HDD_18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Antigua and Barbuda,HDD_18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Argentina,HDD_18,7.756,9.712,11.6,78.97,145.8,212,276.1,234.1,125.2,75.54,27.71,13.18,8.529,9.338,25.52,51.21,147.5,233.7,265.8,229.9,101.7,66.53,15.47,11.74,7.663,9.254,24.01,77.48,102.3,220.4,292.3,171.7,104.3,51.14,18.71,11.19,9.207,11.31,35.93,42.95,143.7,204.6,239,226.6,162.2,53.81,20.32,8.865,10.1,12.84,29.61,69.58,141.2,218.6,220.6,155.7,91.64,42.29,30.06,14.56,8.322,9.671,19.11,30.74,107.1,181.7,218.2,142.6,134.2,106.1,28.07,12.28,7.31,7.2,20.02,86.81,194.5,274.5,253.4,169.6,138.1,64.44,28.29,10.52,7.272,7.646,16.53,58.22,124.7,193.4,191.8,144.4,109.2,61.74,26.64,11.08,8.649,9.085,22.33,27.86,111,257.3,269.3,215.4,79.91,68.03,23.14,16.01,10.16,12.01,30.1,45.45,127.2,166.9,245.7,206.6,137.4,75.36,14.4,11.25,7.666,10.3,10.45,51.6,133.4,207.6,273.8,176.9,127.4,71.64,13.87,12.19,10.17,9.817,20.6,33.35,164.6,228.6,232.2,189.2,95.44,63.12,23.94,9.412,9.306,11.36,33.71,70,184.9,268.3,212.2,190.6,122.8,71.07,18.32,10.48,7.859,16.22,12.4,50.57,106.2,193.1,206.7,165.2,124.2
Armenia,HDD_18,591.8,493.9,415.6,324.5,182,23.61,9.151,12.49,36.62,210.6,381.5,501.8,680.9,612.6,498.8,323.7,180,49.62,11.17,28.46,83.61,293.3,591.6,676.5,672.5,714.5,614.4,242.7,119.2,37.85,25.38,11.01,55.12,191.8,373,627.6,691.6,521.4,456.4,273.5,150.3,57.74,25.59,27.21,78.84,295.7,388,759.8,677.9,583.2,426,261.2,111.3,49.06,16.67,5.969,71.41,264.8,493.9,575,664.4,535.8,482,314.5,160.1,26.03,10.3,21.1,36.58,235.3,450.2,673.8,708,514.4,443.2,264.4,147.5,60.79,25.08,7.774,105.6,285.6,526.1,779.8,836,718.7,490.3,305.5,148.5,46.51,11.33,6.759,40.22,279.8,445.2,583.2,615.2,480.7,354,277.9,133.1,48.71,6.174,20.34,50.98,219.5,431.6,560.7,671.2,553.4,512.2,343.2,115.4,22.16,17.28,17.33,90.05,183.6,473,559.7,701,598.4,395.9,347,147.3,32.9,15.37,36.68,39.66,199.9,433.5,630.4,699.8,515.1,511.6,196,101.4,24.83,16.29,10.27,77.17,283.6,408.9,640.4,734.8,522.3,575.1,237.1,193.7,31.8,19.37,8.889,47.29,208.8,394.7,571.4,669.2,612.4,349.3,266.1,152.6,40.38,19.68,7.851,66.7
