Country,parameter,Jan-10,Feb-10,Mar-10,Apr-10,May-10,Jun-10,Jul-10,Aug-10,Sep-10,Oct-10,Nov-10,Dec-10,Jan-11,Feb-11,Mar-11,Apr-11,May-11,Jun-11,Jul-11,Aug-11,Sep-11,Oct-11,Nov-11,Dec-11,Jan-12,Feb-12,Mar-12,Apr-12,May-12,Jun-12,Jul-12,Aug-12,Sep-12,Oct-12,Nov-12,Dec-12,Jan-13,Feb-13,Mar-13,Apr-13,May-13,Jun-13,Jul-13,Aug-13,Sep-13,Oct-13,Nov-13,Dec-13,Jan-14,Feb-14,Mar-14,Apr-14,May-14,Jun-14,Jul-14,Aug-14,Sep-14,Oct-14,Nov-14,Dec-14,Jan-15,Feb-15,Mar-15,Apr-15,May-15,Jun-15,Jul-15,Aug-15,Sep-15,Oct-15,Nov-15,Dec-15,Jan-16,Feb-16,Mar-16,Apr-16,May-16,Jun-16,Jul-16,Aug-16,Sep-16,Oct-16,Nov-16,Dec-16,Jan-17,Feb-17,Mar-17,Apr-17,May-17,Jun-17,Jul-17,Aug-17,Sep-17,Oct-17,Nov-17,Dec-17,Jan-18,Feb-18,Mar-18,Apr-18,May-18,Jun-18,Jul-18,Aug-18,Sep-18,Oct-18,Nov-18,Dec-18,Jan-19,Feb-19,Mar-19,Apr-19,May-19,Jun-19,Jul-19,Aug-19,Sep-19,Oct-19,Nov-19,Dec-19,Jan-20,Feb-20,Mar-20,Apr-20,May-20,Jun-20,Jul-20,Aug-20,Sep-20,Oct-20,Nov-20,Dec-20,Jan-21,Feb-21,Mar-21,Apr-21,May-21,Jun-21,Jul-21,Aug-21,Sep-21,Oct-21,Nov-21,Dec-21,Jan-22,Feb-22,Mar-22,Apr-22,May-22,Jun-22,Jul-22,Aug-22,Sep-22,Oct-22,Nov-22,Dec-22,Jan-23,Feb-23,Mar-23,Apr-23,May-23,Jun-23,Jul-23,Aug-23,Sep-23
Afghanistan,total_precipitation,0.04079,0.1322,0.04779,0.05606,0.0673,0.02578,0.02949,0.03367,0.01341,0.01039,0.004698,0.006087,0.0334,0.1594,0.05406,0.04929,0.0265,0.008371,0.01036,0.01473,0.01146,0.04032,0.07509,0.01139,0.06565,0.1129,0.05756,0.07587,0.04503,0.0207,0.009482,0.01322,0.02366,0.01519,0.03359,0.06102,0.0363,0.113,0.06777,0.07855,0.02874,0.01904,0.009913,0.02222,0.005013,0.01304,0.04343,0.03011,0.02966,0.0612,0.1193,0.08083,0.07016,0.0127,0.01079,0.01093,0.005287,0.02076,0.04554,0.01587,0.05626,0.1093,0.08087,0.06016,0.04909,0.01272,0.03327,0.01268,0.01082,0.02517,0.0734,0.02897,0.05293,0.009578,0.1265,0.08772,0.04357,0.02292,0.01737,0.01203,0.004851,0.006243,0.02499,0.02206,0.09044,0.1336,0.07207,0.04645,0.02783,0.01225,0.01464,0.008277,0.007284,0.00505,0.02465,0.01349,0.02457,0.06904,0.06074,0.06703,0.06331,0.009007,0.0104,0.005093,0.006884,0.02715,0.03551,0.01187,0.07749,0.1207,0.1068,0.1106,0.03918,0.02471,0.009239,0.01019,0.003856,0.03092,0.05182,0.02094,0.1045,0.06387,0.1083,0.07957,0.04971,0.01519,0.01806,0.01572,0.008675,0.005784,0.04791,0.04238,0.007915,0.0324,0.07598,0.03521,0.04985,0.006113,0.01941,0.009621,0.003489,0.00869,0.01915,0.02483,0.1009,0.04017,0.04206,0.03255,0.0341,0.02191,0.02663,0.05943,0.003533,0.01251,0.03928,0.02723,0.04622,0.06865,0.07021,0.05033,0.03578,0.01286,0.02372,0.006955,0.006365
Aland Islands,total_precipitation,0.04408,0.05924,0.05469,0.04089,0.06337,0.03672,0.05252,0.1581,0.1017,0.06794,0.1126,0.0922,0.07942,0.04639,0.02476,0.03873,0.0722,0.07276,0.08029,0.09039,0.1187,0.08313,0.05074,0.1106,0.09341,0.07085,0.02755,0.08513,0.04353,0.1118,0.09537,0.09602,0.1287,0.1876,0.09451,0.1479,0.04291,0.04189,0.01887,0.04365,0.02247,0.09997,0.07441,0.05174,0.159,0.0779,0.0938,0.08342,0.06571,0.05729,0.05278,0.03151,0.05557,0.05741,0.03176,0.1261,0.07329,0.1022,0.07322,0.07771,0.1076,0.04401,0.06368,0.02336,0.08487,0.05678,0.1244,0.01395,0.1141,0.01363,0.1076,0.05708,0.08582,0.05985,0.02077,0.05384,0.04912,0.08894,0.03979,0.1275,0.03122,0.04171,0.1263,0.03503,0.03196,0.04912,0.03642,0.03763,0.03473,0.06347,0.03781,0.08949,0.05637,0.2078,0.09462,0.1064,0.08038,0.0565,0.04316,0.04353,0.02085,0.03417,0.03645,0.0544,0.08634,0.05505,0.04867,0.0987,0.1074,0.07328,0.07679,0.0171,0.0508,0.03581,0.07137,0.086,0.1439,0.1248,0.1491,0.1169,0.04985,0.05454,0.06167,0.03501,0.05316,0.04459,0.08668,0.03719,0.07351,0.1437,0.08841,0.1252,0.1123,0.03788,0.03586,0.03801,0.08414,0.02276,0.0635,0.1424,0.06788,0.1174,0.04803,0.07104,0.09844,0.09024,0.006531,0.04955,0.03906,0.04176,0.0712,0.1059,0.07633,0.07119,0.07286,0.08999,0.09272,0.06119,0.1117,0.03013,0.02526,0.0179,0.08638,0.15,0.05368
Albania,total_precipitation,0.303,0.3899,0.2039,0.1693,0.1468,0.1048,0.06798,0.02198,0.1965,0.3099,0.4354,0.3025,0.1119,0.09992,0.1222,0.05168,0.1505,0.07329,0.05169,0.01479,0.1309,0.1094,0.03331,0.2235,0.128,0.2383,0.04848,0.2817,0.169,0.02334,0.02135,0.01678,0.122,0.3265,0.2521,0.2989,0.2717,0.2862,0.3575,0.1106,0.1844,0.06876,0.03502,0.05087,0.1617,0.137,0.2756,0.0576,0.2182,0.1255,0.1137,0.2067,0.173,0.1094,0.08834,0.03438,0.2459,0.2191,0.2037,0.2146,0.1926,0.2367,0.2019,0.1199,0.05662,0.08185,0.02176,0.06723,0.1899,0.2405,0.1828,0.00257,0.301,0.2305,0.2113,0.1233,0.1995,0.1151,0.07109,0.04936,0.2113,0.2585,0.3389,0.009496,0.1283,0.1386,0.09081,0.1158,0.1362,0.03968,0.03529,0.01497,0.152,0.08584,0.3034,0.3625,0.1582,0.4163,0.4279,0.05522,0.2099,0.1837,0.08379,0.0781,0.01358,0.06153,0.269,0.1396,0.2494,0.06493,0.05128,0.1617,0.2603,0.08067,0.09004,0.013,0.09593,0.06583,0.4078,0.2461,0.06908,0.1573,0.2095,0.1242,0.07798,0.09796,0.02715,0.07187,0.1658,0.2652,0.01871,0.2931,0.5475,0.2055,0.1488,0.1672,0.06782,0.0523,0.04761,0.05288,0.08071,0.2069,0.2608,0.3093,0.07891,0.1729,0.0911,0.1845,0.08216,0.07673,0.03124,0.07825,0.215,0.1087,0.3147,0.2657,0.3113,0.05497,0.1856,0.1833,0.1621,0.1367,0.03077,0.1019,0.05803
Algeria,total_precipitation,0.009499,0.01395,0.008696,0.008981,0.009082,0.00455,0.002255,0.005962,0.006871,0.01371,0.008609,0.004675,0.007799,0.01295,0.01719,0.01485,0.01338,0.009361,0.001788,0.003024,0.005072,0.01855,0.01075,0.005724,0.01088,0.01531,0.01493,0.01537,0.002572,0.002862,0.001319,0.002796,0.005622,0.01352,0.01949,0.004017,0.01073,0.009881,0.009612,0.01451,0.009143,0.001171,0.002773,0.003562,0.007619,0.005128,0.01242,0.01524,0.01101,0.009104,0.01339,0.002528,0.009904,0.006315,0.001315,0.002296,0.008408,0.00412,0.02776,0.0112,0.0101,0.02351,0.01558,0.001393,0.003685,0.002743,0.002467,0.007771,0.01134,0.01857,0.006264,0.0003709,0.004726,0.007221,0.01057,0.00906,0.008855,0.002795,0.002202,0.002934,0.01088,0.004171,0.01465,0.01431,0.01613,0.004046,0.006877,0.006848,0.004275,0.006853,0.001106,0.00281,0.004441,0.005872,0.01041,0.01515,0.008215,0.01681,0.01454,0.01313,0.01208,0.003802,0.0009213,0.01252,0.01355,0.01712,0.01481,0.003035,0.01069,0.004675,0.01853,0.01393,0.007977,0.002063,0.002437,0.006979,0.01126,0.006678,0.01242,0.006473,0.005521,0.0005076,0.01197,0.02051,0.004331,0.002121,0.001807,0.001934,0.006559,0.002185,0.006871,0.01008,0.005207,0.003444,0.01189,0.005734,0.009158,0.003569,0.0008194,0.001559,0.002632,0.003537,0.01865,0.004868,0.004142,0.004399,0.01324,0.01154,0.004955,0.001527,0.0009768,0.001695,0.006508,0.005034,0.004741,0.003875,0.006882,0.007941,0.003007,0.002307,0.01402,0.006672,0.001088,0.002479,0.003125
American Samoa,total_precipitation,0.6811,0.5776,0.2975,0.2192,0.2047,0.1645,0.1751,0.1367,0.3044,0.2715,0.2656,0.3823,0.8756,0.4264,0.24,0.1453,0.09281,0.1136,0.06861,0.05756,0.03398,0.4023,0.4373,0.3872,0.4617,0.4825,0.5515,0.2295,0.4159,0.1336,0.1427,0.106,0.1271,0.2126,0.3277,0.4736,0.7889,0.359,0.308,0.2789,0.2357,0.2111,0.3378,0.1837,0.2156,0.2211,0.2324,0.3716,0.7295,0.3669,0.2551,0.2876,0.1863,0.1202,0.1873,0.154,0.0925,0.1744,0.3748,0.6669,0.5047,0.3886,0.5714,0.2158,0.4069,0.1646,0.09781,0.06172,0.06177,0.1719,0.4898,0.4296,0.2214,0.2779,0.3282,0.8294,0.3044,0.1683,0.1816,0.2573,0.1616,0.09168,0.3304,0.3949,0.4315,0.4771,0.2789,0.3449,0.4258,0.1976,0.1219,0.2179,0.1268,0.366,0.4538,0.5651,0.4588,0.798,0.2456,0.485,0.1723,0.1212,0.2197,0.1551,0.1905,0.2627,0.3921,0.5191,0.3393,0.5257,0.1833,0.2219,0.5019,0.1395,0.3326,0.09223,0.1825,0.2688,0.2128,0.4931,0.799,1.022,0.1693,0.352,0.1562,0.4144,0.2288,0.1354,0.244,0.4331,0.3249,0.5671,0.3084,0.5601,0.3771,0.2291,0.1265,0.2114,0.1066,0.209,0.0613,0.1442,0.3296,0.2696,0.3258,0.7638,0.1397,0.1519,0.1738,0.1608,0.1493,0.1083,0.08083,0.2326,0.256,0.3696,0.4276,0.3611,0.3377,0.3386,0.289,0.1781,0.1309,0.06447,0.1771
Angola,total_precipitation,0.2558,0.2465,0.2744,0.1572,0.01997,0.0005064,0.0006926,0.0005669,0.01804,0.07835,0.2634,0.3085,0.2901,0.2763,0.2755,0.1652,0.00846,0.001139,0.0003845,0.001281,0.0159,0.1074,0.2482,0.2788,0.1971,0.1973,0.2139,0.0601,0.01227,0.0008267,0.0007647,0.005076,0.03408,0.1343,0.2721,0.2907,0.2439,0.2212,0.2483,0.07141,0.005578,0.001048,0.0008199,0.001268,0.02701,0.08988,0.2315,0.3072,0.2214,0.16,0.2786,0.1735,0.01812,0.0008849,0.0005038,0.002539,0.02352,0.08732,0.2707,0.2458,0.2353,0.1996,0.2379,0.1276,0.01342,0.002229,0.001235,0.001384,0.02402,0.1092,0.1935,0.3213,0.2698,0.3062,0.2635,0.1201,0.01252,0.0006111,0.0006205,0.003726,0.02129,0.07715,0.2303,0.2811,0.1905,0.2187,0.2266,0.1325,0.006137,0.0009828,0.0009423,0.001714,0.02182,0.1311,0.2008,0.2949,0.276,0.2731,0.2458,0.1897,0.0303,0.0008649,0.0004948,0.006354,0.03265,0.09241,0.1722,0.2074,0.2238,0.2291,0.1651,0.1354,0.02008,0.000319,0.0008402,0.006899,0.02519,0.1353,0.2119,0.278,0.3195,0.3197,0.2517,0.165,0.009374,0.0008833,0.0006103,0.01091,0.01852,0.07973,0.2445,0.2131,0.1732,0.1586,0.2528,0.1256,0.05265,0.0008281,0.0005538,0.009036,0.01422,0.09305,0.1728,0.2562,0.1896,0.2558,0.2396,0.1713,0.004397,0.0006108,0.0008994,0.003342,0.02439,0.08501,0.2449,0.2041,0.3185,0.1356,0.2514,0.1508,0.01242,0.002402,0.0007687,0.001749,0.02266
Anguilla,total_precipitation,0.05253,0.06209,0.09513,0.05073,0.2042,0.2043,0.2339,0.2685,0.1185,0.4165,0.09836,0.06953,0.03351,0.04896,0.03853,0.06889,0.1836,0.1756,0.2395,0.2738,0.2674,0.06391,0.222,0.1023,0.0649,0.03286,0.09417,0.06368,0.1708,0.02854,0.144,0.1259,0.08846,0.2799,0.07598,0.04815,0.05074,0.03497,0.0506,0.05967,0.1505,0.09791,0.1164,0.112,0.137,0.1832,0.1355,0.1702,0.04978,0.06568,0.032,0.05668,0.1221,0.04718,0.05204,0.1991,0.164,0.2132,0.2088,0.07259,0.04333,0.04546,0.03046,0.03725,0.04798,0.03679,0.03521,0.09245,0.09002,0.134,0.1282,0.06599,0.03696,0.05035,0.05163,0.08782,0.1055,0.04226,0.1264,0.1302,0.1078,0.1954,0.2552,0.0875,0.04299,0.06024,0.05727,0.07612,0.1024,0.06779,0.1307,0.1198,0.5441,0.2015,0.1229,0.06968,0.06302,0.05835,0.02159,0.05223,0.06587,0.03607,0.07027,0.0927,0.1152,0.1443,0.1875,0.04537,0.03841,0.04532,0.02696,0.02225,0.05285,0.06701,0.1158,0.1124,0.1741,0.1038,0.08642,0.09938,0.08433,0.05317,0.04736,0.03581,0.05215,0.0471,0.1468,0.115,0.1237,0.1868,0.1906,0.04748,0.03971,0.05018,0.04049,0.04577,0.02933,0.1399,0.09383,0.1037,0.1365,0.1359,0.05591,0.05755,0.03218,0.1069,0.04592,0.05184,0.03842,0.04129,0.1285,0.08521,0.3196,0.1306,0.2192,0.03537,0.08714,0.03684,0.02478,0.07742,0.073,0.1421,0.08946,0.1583,0.0608
Antigua and Barbuda,total_precipitation,0.03948,0.02264,0.05098,0.08335,0.1583,0.1786,0.1933,0.2927,0.1453,0.3742,0.08668,0.08747,0.06613,0.0403,0.0376,0.08699,0.1379,0.104,0.2252,0.2756,0.2796,0.08543,0.2409,0.199,0.05478,0.03455,0.07242,0.08428,0.1987,0.02744,0.1414,0.1514,0.1172,0.3853,0.05568,0.05692,0.04837,0.0352,0.03243,0.09025,0.2234,0.09724,0.1009,0.123,0.1405,0.1691,0.09121,0.1607,0.04502,0.06733,0.0222,0.0673,0.1178,0.04535,0.04988,0.1564,0.1535,0.2136,0.1679,0.08443,0.04344,0.04853,0.03541,0.04811,0.02664,0.03787,0.04005,0.2067,0.06752,0.126,0.1218,0.08201,0.0415,0.04285,0.06707,0.113,0.0959,0.05386,0.1318,0.1173,0.1408,0.154,0.3062,0.09318,0.04432,0.04605,0.04507,0.07906,0.1102,0.07343,0.1103,0.1254,0.4865,0.1523,0.07759,0.06473,0.06647,0.06265,0.02234,0.05756,0.06672,0.03074,0.07368,0.09245,0.141,0.1399,0.2023,0.04425,0.04784,0.04282,0.02355,0.03242,0.06585,0.08088,0.1104,0.1475,0.1334,0.07788,0.1042,0.09741,0.07805,0.06201,0.053,0.02911,0.03091,0.04539,0.1409,0.1175,0.1488,0.2239,0.2091,0.05889,0.03394,0.04453,0.04624,0.05248,0.03632,0.09861,0.07748,0.119,0.09092,0.1158,0.05286,0.06431,0.03597,0.07519,0.05952,0.05322,0.0391,0.04418,0.1279,0.08742,0.2807,0.1064,0.19,0.0502,0.06426,0.05893,0.03699,0.07127,0.05443,0.09154,0.1109,0.1658,0.1031
Argentina,total_precipitation,0.1079,0.1852,0.1015,0.06003,0.06868,0.04832,0.05164,0.02615,0.08078,0.07204,0.06473,0.09407,0.1386,0.1532,0.08313,0.08027,0.03941,0.05511,0.05085,0.03888,0.03672,0.08974,0.09363,0.0673,0.09874,0.1419,0.09021,0.08812,0.06079,0.04458,0.02548,0.08551,0.05905,0.1309,0.08667,0.1289,0.08096,0.08832,0.08854,0.07785,0.05842,0.04518,0.04059,0.03473,0.06322,0.06989,0.1283,0.07162,0.1086,0.1601,0.1087,0.1356,0.07817,0.06136,0.0611,0.04207,0.09334,0.09164,0.115,0.1194,0.1229,0.1414,0.08898,0.07906,0.05873,0.04888,0.05276,0.1029,0.04862,0.1028,0.1293,0.1319,0.1254,0.1581,0.07825,0.1469,0.05935,0.04909,0.05492,0.04002,0.03055,0.14,0.09428,0.1131,0.1025,0.1481,0.1326,0.1427,0.08933,0.06408,0.0438,0.07441,0.07976,0.08048,0.07116,0.09491,0.1262,0.07589,0.07264,0.07823,0.1013,0.03874,0.05177,0.03315,0.07461,0.09818,0.1385,0.1077,0.1577,0.08873,0.09774,0.08199,0.07572,0.07025,0.03985,0.02926,0.03561,0.07633,0.1021,0.08789,0.1115,0.1003,0.08426,0.06402,0.04102,0.05961,0.05175,0.02472,0.03826,0.06178,0.07689,0.072,0.128,0.07165,0.1055,0.08243,0.051,0.03894,0.02018,0.03254,0.05915,0.05216,0.1057,0.07933,0.1007,0.1048,0.09656,0.07625,0.03019,0.03168,0.04909,0.0337,0.04229,0.05262,0.06211,0.05723,0.08676,0.05822,0.08752,0.05684,0.05354,0.04142,0.04309,0.04544,0.06747
Armenia,total_precipitation,0.1076,0.08626,0.1349,0.2397,0.2039,0.1255,0.08424,0.06685,0.05244,0.1583,0.002469,0.01439,0.06828,0.11,0.09518,0.2246,0.1938,0.1443,0.104,0.1057,0.08546,0.09347,0.06708,0.01995,0.05651,0.08878,0.1003,0.1066,0.1867,0.1675,0.1571,0.05554,0.07917,0.06315,0.04764,0.09452,0.08315,0.09001,0.1193,0.132,0.189,0.1375,0.1018,0.08011,0.06939,0.06356,0.0615,0.04649,0.0624,0.02859,0.1244,0.1375,0.1943,0.1394,0.1119,0.05239,0.1091,0.07358,0.08822,0.04382,0.04164,0.09449,0.1315,0.2056,0.1772,0.1234,0.06312,0.108,0.05322,0.1772,0.03817,0.06445,0.1175,0.06329,0.1299,0.1215,0.1923,0.2101,0.1565,0.05469,0.1108,0.08994,0.07364,0.08742,0.03852,0.02546,0.09337,0.1424,0.2004,0.122,0.06925,0.04224,0.04809,0.09862,0.06918,0.05908,0.06714,0.07303,0.1303,0.1304,0.2159,0.1516,0.08992,0.1006,0.05916,0.09015,0.07955,0.09577,0.04656,0.06756,0.1351,0.1477,0.1491,0.1435,0.06854,0.05714,0.08893,0.03511,0.0349,0.05067,0.03339,0.08464,0.1141,0.2169,0.1497,0.1122,0.1343,0.0984,0.03857,0.05088,0.05213,0.0523,0.05476,0.07075,0.1668,0.1083,0.1459,0.07764,0.1046,0.07566,0.07268,0.08468,0.04153,0.04476,0.05095,0.03952,0.1653,0.1085,0.2189,0.138,0.04006,0.04255,0.04022,0.06564,0.03977,0.02027,0.0171,0.07844,0.1295,0.1556,0.1752,0.2057,0.0866,0.06468,0.1008
